dumb,
170332,
279502,
396579,
4123411,
5154761,
6172281,
7193802,
bucket,
1185912,
2439819,
3496421,
4601096,
5733497,
6700200,
7748287,
quad,
110850,
210636,
310541,
410781,
511835,
610430,
711044,
kd,
17592,
29867,
313149,
417165,
521649,
623128,
725213,
